id	vocalized	unvocalized	rule	category	note	first	second
1	آثَار الْكُفْرِ	آثار الكفر	50	مضاف إليه		آثار	الكفر
2	آثَار الْمِلْكِ	آثار الملك	50	مضاف إليه		آثار	الملك
3	آثَار النِّكَاحِ	آثار النكاح	50	مضاف إليه		آثار	النكاح
4	آثَار الْوُضُوءِ	آثار الوضوء	50	مضاف إليه		آثار	الوضوء
5	آحَاد الصِّنْفِ	آحاد الصنف	50	مضاف إليه		آحاد	الصنف
6	آحَاد الْمُسْلِمِينَ	آحاد المسلمين	50			آحاد	المسلمين
7	آحَاد النَّاسِ	آحاد الناس	50	مضاف إليه		آحاد	الناس
8	آخِر الآيَةِ	آخر الآية	50	مضاف إليه	Confused;;;آخِر الْآيَةِ	آخر	الآية
9	آخِر الْأَذَانِ	آخر الأذان	50	مضاف إليه		آخر	الأذان
10	آخِر الْأَعْرَافِ	آخر الأعراف	50	مضاف إليه		آخر	الأعراف
11	آخِر الْأَمْرِ	آخر الأمر	50	مضاف إليه		آخر	الأمر
12	آخِر الْإِجَارَةِ	آخر الإجارة	50	مضاف إليه		آخر	الإجارة
13	آخِر الْبَابِ	آخر الباب	50	مضاف إليه		آخر	الباب
14	آخِر الْبَيْتِ	آخر البيت	50	مضاف إليه		آخر	البيت
15	آخِر التَّشَهُّدِ	آخر التشهد	50	مضاف إليه		آخر	التشهد
16	آخِر الْجُمُعَةِ	آخر الجمعة	50	مضاف إليه		آخر	الجمعة
17	آخِر الْجِهَادِ	آخر الجهاد	50	مضاف إليه		آخر	الجهاد
18	آخِر الْحَدِيثِ	آخر الحديث	50	مضاف إليه		آخر	الحديث
19	آخِر الْحَوْلِ	آخر الحول	50	مضاف إليه		آخر	الحول
20	آخِر الْحَيْضِ	آخر الحيض	50	مضاف إليه		آخر	الحيض
21	آخِر الْخَبَرِ	آخر الخبر	50	مضاف إليه		آخر	الخبر
22	آخِر الْخُطْبَةِ	آخر الخطبة	50	مضاف إليه		آخر	الخطبة
23	آخِر الدَّمِ	آخر الدم	50	مضاف إليه		آخر	الدم
24	آخِر الدَّهْرِ	آخر الدهر	50	مضاف إليه		آخر	الدهر
25	آخِر الزَّمَانِ	آخر الزمان	50	مضاف إليه		آخر	الزمان
26	آخِر السِّكَّةِ	آخر السكة	50	مضاف إليه		آخر	السكة
27	آخِر السَّلَمِ	آخر السلم	50	مضاف إليه		آخر	السلم
28	آخِر السَّنَةِ	آخر السنة	50	مضاف إليه		آخر	السنة
29	آخِر السِّوَادَةِ	آخر السوادة	50	مضاف إليه		آخر	السوادة
30	آخِر السُّورَةِ	آخر السورة	50	مضاف إليه		آخر	السورة
31	آخِر الشُّرُوطِ	آخر الشروط	50	مضاف إليه		آخر	الشروط
32	آخِر الشَّهْرِ	آخر الشهر	50	مضاف إليه		آخر	الشهر
33	آخِر الصُّفُوفِ	آخر الصفوف	50	مضاف إليه		آخر	الصفوف
34	آخِر الصَّلَاةِ	آخر الصلاة	50	مضاف إليه		آخر	الصلاة
35	آخِر الطُّهْرِ	آخر الطهر	50	مضاف إليه		آخر	الطهر
36	آخِر الْعِبَارَةِ	آخر العبارة	50	مضاف إليه		آخر	العبارة
37	آخِر الْعُمُرِ	آخر العمر	50	مضاف إليه	Confused;;;آخِر الْعُمْرِ	آخر	العمر
38	آخِر الْغَصْبِ	آخر الغصب	50	مضاف إليه		آخر	الغصب
39	آخِر الْفَرْقِ	آخر الفرق	50	مضاف إليه		آخر	الفرق
40	آخِر الْفَصْلِ	آخر الفصل	50	مضاف إليه		آخر	الفصل
41	آخِر الْقَاعِدَةِ	آخر القاعدة	50	مضاف إليه		آخر	القاعدة
42	آخِر الْقَامَةِ	آخر القامة	50	مضاف إليه		آخر	القامة
43	آخِر الْقُرْآنِ	آخر القرآن	50	مضاف إليه		آخر	القرآن
44	آخِر الْقِصّةِ	آخر القصة	50	مضاف إليه	Confused;;;آخِر الْقِصَّةِ	آخر	القصة
45	آخِر الْقَوْمِ	آخر القوم	50	مضاف إليه		آخر	القوم
46	آخِر الْكِتَابِ	آخر الكتاب	50	مضاف إليه		آخر	الكتاب
47	آخِر الْكَلَامِ	آخر الكلام	50	مضاف إليه		آخر	الكلام
48	آخِر اللَّيْلِ	آخر الليل	50	مضاف إليه		آخر	الليل
49	آخِر الْمَجْلِسِ	آخر المجلس	50	مضاف إليه		آخر	المجلس
50	آخِر الْمُدَّةِ	آخر المدة	50	مضاف إليه		آخر	المدة
51	آخِر الْمَسْأَلَةِ	آخر المسألة	50	مضاف إليه		آخر	المسألة
52	آخِر الْمَسْجِدِ	آخر المسجد	50	مضاف إليه		آخر	المسجد
53	آخِر النَّهَارِ	آخر النهار	50	مضاف إليه		آخر	النهار
54	آخِر الْوُضُوءِ	آخر الوضوء	50	مضاف إليه		آخر	الوضوء
55	آخِر الْوَطَآتِ	آخر الوطآت	50	مضاف إليه		آخر	الوطآت
56	آخِر الْوَقْتِ	آخر الوقت	50	مضاف إليه		آخر	الوقت
57	آخِر الْوَقْفِ	آخر الوقف	50	مضاف إليه		آخر	الوقف
58	آخِر الْيَوْمِ	آخر اليوم	50	مضاف إليه		آخر	اليوم
59	آخِرَة الرَّحْلِ	آخرة الرحل	30	مضاف إليه		آخرة	الرحل
60	آدَاب الْأَكْلِ	آداب الأكل	50	مضاف إليه		آداب	الأكل
61	آدَاب الْخَلَاءِ	آداب الخلاء	50	مضاف إليه		آداب	الخلاء
62	آدَاب الدُّعَاءِ	آداب الدعاء	50	مضاف إليه		آداب	الدعاء
63	آدَاب الْقَاضِي	آداب القاضي	50			آداب	القاضي
64	آدَاب الْقَضَاءِ	آداب القضاء	50	مضاف إليه		آداب	القضاء
65	آدَاب الْمُفْتِي	آداب المفتي	50			آداب	المفتي
66	آفَات الْقَلْبِ	آفات القلب	50	مضاف إليه		آفات	القلب
67	آفَات اللِّسَانِ	آفات اللسان	50	مضاف إليه		آفات	اللسان
